Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Burbank Elementary School,Hayward Unified,4565,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",222 Burbank Street,222 Burbank Street,Hayward,94541,37.6658776,-122.0947011,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,Possible that weekend days are also included.
Eden Gardens Elementary School,Hayward Unified,4566,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",2184 Thayer Avenue,2184 Thayer Avenue,Hayward,94545,37.6376228,-122.1077152,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Faith Ringgold Elementary School,Hayward Unified,4567,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",1570 Ward Street,1570 Ward Street,Hayward,94541,37.6770186,-122.0725713,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Eldridge Elementary School,Hayward Unified,4568,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",26825 Eldridge Avenue,26825 Eldridge Avenue,Hayward,94544,37.6367676,-122.0856802,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Bowman Elementary School,Hayward Unified,4569,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",520 Jefferson Street,520 Jefferson Street,Hayward,94544,37.6415373,-122.0620943,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
East Avenue Elementary School,Hayward Unified,4570,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",2424 East Avenue,2424 East Avenue,Hayward,94541,37.6729602,-122.0722469,https://www.husd.us/FS,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Lorin Eden Elementary School,Hayward Unified,4571,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",27790 Portsmouth Avenue,27790 Portsmouth Avenue,Hayward,94545,37.6243776,-122.1005191,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Cherryland Elementary School,Hayward Unified,4572,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",456 Laurel Ave.,456 Laurel Ave.,Hayward,94541,37.6723518,-122.0945785,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Glassbrook Elementary School,Hayward Unified,4573,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",975 Schafer Road,975 Schafer Road,Hayward,94544,37.6413003,-122.0807105,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Fairview Elementary School,Hayward Unified,4574,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.","23515 Maud Avenue,23515 Maud Ave Hayward","23515 Maud Avenue, 23515 Maud Ave","Hayward, Hayward","94541, 94560","37.680903, 37.662793","-122.052237, -122.056348",https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
Longwood Elementary School,Hayward Unified,4575,"BREAKFAST AND LUNCH
* Available at all HUSD school sites (families can go to any site)
* Served Monday-Friday, 11:00am-1:30pm
* No ID required
* Student doesn't have to be present for family to pick up meal

DINNER: 
* Available to all HUSD students (18 and under)
* Served Monday-Friday, 11:00am-1:30pm
* Student ID number must be presented 
* Student doesn't have to be present for family to pick up meal
* Breakfast and lunch can be picked up at the same time
",,"DESAYUNO Y ALMUERZO
* Disponible en todos los sitios escolares de HUSD (las familias pueden ir a cualquier sitio)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* No se requiere identificación
* El estudiante no tiene que estar presente para que la familia recoja la comida

CENA:
* Disponible para todos los estudiantes de HUSD (18 años o menos)
* Se sirve de lunes a viernes, de 11:00 a.m. a 1:30 p.m.
* Se debe presentar el número de identificación del estudiante
* El estudiante no tiene que estar presente para que la familia recoja la comida
* El desayuno y el almuerzo se pueden recoger a la misma hora.",850 Longwood Avenue,850 Longwood Avenue,Hayward,94541,37.6584551,-122.1096389,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/3/2020 4:11am,Micah Trautwein,"It appears breakfast + lunch are available to all students, but dinner is only available to district students with ID."
